asin,title,imgUrl,productURL,stars,reviews,price,listPrice,isBestSeller,boughtInLastMonth,id,category_name
B0C1FTQ7VF,Skulls Pattern Clear Backpack Stadium Approved Heavy Duty PVC Transparent Backpacks Large Laptop Backpack for Work Travel Sports Events Concerts,https://m.media-amazon.com/images/I/61RrZ0LY7PL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C1FTQ7VF,4.8,0,33.99,0.0,False,0,109,Laptop Bags
B0012XYIM0,"JOBST Relief Thigh High Open Toe Compression Stockings, High Quality, Unisex, Extra Firm Legware with Silicone Band for Easy Donning, Compression Class- 20-30",https://m.media-amazon.com/images/I/61FKVpsortL._AC_UL320_.jpg,https://www.amazon.com/dp/B0012XYIM0,4.3,0,58.31,73.6,False,100,133,Home Use Medical Supplies & Equipment
B00DVUFLFK,Juniors Plus Size Stretch Straight Leg Pant,https://m.media-amazon.com/images/I/51FYcLvCYCL._AC_UL320_.jpg,https://www.amazon.com/dp/B00DVUFLFK,3.6,0,27.99,30.99,False,0,98,Girls' School Uniforms
B08K3TG5D9,"MG Chemicals 8331D Silver Conductive Epoxy Adhesive, High Conductivity, 20 min Working time, 2-Part, 14 Gram Kit",https://m.media-amazon.com/images/I/61i79eP30fL._AC_UL320_.jpg,https://www.amazon.com/dp/B08K3TG5D9,4.5,413,103.14,0.0,False,50,143,"Industrial Adhesives, Sealants & Lubricants"
B074PJH94R,"TINYMILLS 50 Pcs Halloween Stamps for Kids(Stamps 50 Different Designs,Trick or Treat Stamps) Halloween Party Favors for Kids, Game Prizes, Halloween Goodies for Kids, Non Candy Treat",https://m.media-amazon.com/images/I/91PWqeKk0KL._AC_UL320_.jpg,https://www.amazon.com/dp/B074PJH94R,4.7,240,10.99,12.99,False,50,219,Arts & Crafts Supplies
B00068ORAK,"Mr. Gasket - 1204 Performance Collector Gasket Tr 3 X 3-7/8 Bc, White",https://m.media-amazon.com/images/I/71y4144o+NL._AC_UL320_.jpg,https://www.amazon.com/dp/B00068ORAK,5.0,0,8.95,0.0,False,0,18,Automotive Performance Parts & Accessories
B0C3CH3WBG,"iDOO Replacement Grout Head, Upgraded Stainless Steel Bristles, Ideal for Stubborn Stains in Grout Lines, Tile Crevice, Corners, Kitchen, Bathroom, Tight Spaces, Gray - 2 Pack",https://m.media-amazon.com/images/I/610YkuXVImL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C3CH3WBG,,0,9.98,0.0,False,0,143,"Industrial Adhesives, Sealants & Lubricants"
B0BP6NG77N,"Modelones Brush On Nail Glue with Nail Glue Remover Kit, Nail Glue for Acylic Nails Press On Nails & Glue Off for False Nails Non-Acetone Nail Polish Remove Enriched with Vitamin E Non Dry Cracked 10ml",https://m.media-amazon.com/images/I/61LfHtrlPqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BP6NG77N,3.8,9,7.99,0.0,False,600,51,"Foot, Hand & Nail Care Products"
B00DRDO0TY,"Ivory Pleated Large Lamp Shade 10"" Top x 17"" Bottom x 14.5"" High x 14.75"" Slant (Spider) Replacement with Harp and Finial - Springcrest",https://m.media-amazon.com/images/I/71WUwolGqfL._AC_UL320_.jpg,https://www.amazon.com/dp/B00DRDO0TY,4.8,0,49.99,0.0,False,0,209,Lighting & Ceiling Fans
B08DY6276K,"Edge Banding Trimmer, High Speed Steel Manual Banding Edge Trimmer with Brass Nut, Adjustable Tilt Banding Trimming Tool, for PVC, Wood Veneer",https://m.media-amazon.com/images/I/51rycYCJxvL._AC_UL320_.jpg,https://www.amazon.com/dp/B08DY6276K,5.0,0,18.36,0.0,False,0,153,Cutting Tools
B0B7ZQZXTM,"HRX Package Large Cloth Christmas Gift Bags, 4pcs Reusable Fabric Drawstring Wrapping Bags Holiday Santa Sack with Gift Tag for Xmas Presents",https://m.media-amazon.com/images/I/81PtWEbM4ML._AC_UL320_.jpg,https://www.amazon.com/dp/B0B7ZQZXTM,4.7,0,15.98,0.0,False,0,12,Gift Wrapping Supplies
B091FDFJP6,5 Pcs Wine Glass Shape Car Wheel Tire Air Stem Valve Cap Dust Cover For Mickey (Black),https://m.media-amazon.com/images/I/61kOcaLjWML._AC_UL320_.jpg,https://www.amazon.com/dp/B091FDFJP6,4.5,82,16.99,0.0,False,0,16,Automotive Tires & Wheels
B0CFH8ZJJD,"Vertdens Heated Neck Stretcher, with Graphene Heating Magnetic Therapy Pillowcase ，Neck and Shoulder Relaxer, Neck Hump Corrector Neck Cloud, Neck Stretcher for Neck Pain Relief（Blue）",https://m.media-amazon.com/images/I/7169QJ-NRML._AC_UL320_.jpg,https://www.amazon.com/dp/B0CFH8ZJJD,5.0,2,19.99,0.0,False,50,128,Wellness & Relaxation Products
B07WSRLD95,"Instant Pot Official Mesh Steamer Basket, Set of 2, Stainless Steel",https://m.media-amazon.com/images/I/81pePnXL9LL._AC_UL320_.jpg,https://www.amazon.com/dp/B07WSRLD95,4.7,0,26.44,0.0,False,1000,201,Home Appliances
